miRNA,gene
hsa-miR-1_st,FAM150B
hsa-miR-141_st,CCNE2
hsa-miR-141_st,CELF6
hsa-miR-141_st,CLIP2
hsa-miR-141_st,CRIP2
hsa-miR-141_st,CRLF3
hsa-miR-141_st,CSF3
hsa-miR-141_st,DMWD
hsa-miR-141_st,DNAH17
hsa-miR-141_st,DSTYK
hsa-miR-141_st,ELAVL2
hsa-miR-141_st,ELAVL4
hsa-miR-141_st,EPGN
hsa-miR-141_st,EPHA2
hsa-miR-141_st,EPHA5
hsa-miR-141_st,FAM184B
hsa-miR-141_st,FBXL19
hsa-miR-141_st,FBXL2
hsa-miR-141_st,FOXA1
hsa-miR-141_st,FRMD6
hsa-miR-141_st,AMPD2
hsa-miR-141_st,GATA3
hsa-miR-141_st,GCNT2
hsa-miR-141_st,GEMIN5
hsa-miR-141_st,GLCCI1
hsa-miR-141_st,GPC2
hsa-miR-141_st,GPR12
hsa-miR-141_st,GPR75
hsa-miR-141_st,GREB1L
hsa-miR-141_st,GSG1
hsa-miR-141_st,HDAC4
hsa-miR-141_st,HOXA11
hsa-miR-141_st,HOXB5
hsa-miR-141_st,HOXC13
hsa-miR-141_st,HRH4
hsa-miR-141_st,IGF2BP1
hsa-miR-141_st,IGSF9B
hsa-miR-141_st,KCNH3
hsa-miR-141_st,APOH
hsa-miR-141_st,KIAA1211
hsa-miR-141_st,LETM2
hsa-miR-141_st,LONRF2
hsa-miR-141_st,LPIN2
hsa-miR-141_st,LRRC8A
hsa-miR-141_st,LSAMP
hsa-miR-141_st,ARHGAP23
hsa-miR-141_st,MDGA1
hsa-miR-141_st,MMP16
hsa-miR-141_st,ARL4A
hsa-miR-141_st,NCAM1
hsa-miR-141_st,NCAN
hsa-miR-141_st,NECAB1
hsa-miR-141_st,NR6A1
hsa-miR-141_st,NRIP3
hsa-miR-141_st,NRXN1
hsa-miR-141_st,NXPH2
hsa-miR-141_st,OSBPL11
hsa-miR-141_st,PALM2-AKAP2
hsa-miR-141_st,PAPLN
hsa-miR-141_st,PAQR5
hsa-miR-141_st,PCDH8
hsa-miR-141_st,PFKM
hsa-miR-141_st,ASXL3
hsa-miR-141_st,PIGW
hsa-miR-141_st,PIM2
hsa-miR-141_st,PITX2
hsa-miR-141_st,PLCB4
hsa-miR-141_st,PLCL1
hsa-miR-141_st,PLCXD3
hsa-miR-141_st,PLXDC1
